ID,Type,subType,Name,Link
,Drama,Romance,The Curious Case of Benjamin Button (2008),https://www.rottentomatoes.com/m/curious_case_of_benjamin_button
,Drama,-,The Green Mile (1999),https://www.rottentomatoes.com/m/green_mile
,Drama,-,Crash (2004),https://www.rottentomatoes.com/m/1144992_crash
,Drama,-,Gran Torino (2009),https://www.rottentomatoes.com/m/gran_torino
,Drama,-,American History X (1998),https://www.rottentomatoes.com/m/american_history_x
,Action,Thriller,Die Hard (1988),https://www.rottentomatoes.com/m/die_hard
,Action,Sports,Rocky (1976),https://www.rottentomatoes.com/m/1017776_rocky
,Action,Adventure,The Bourne Ultimatum (2007),https://www.rottentomatoes.com/m/bourne_ultimatum
,Action,Eccentric,Kill Bill: Vol.1 (2003),https://www.rottentomatoes.com/m/kill_bill_vol_1
,Thiller,Drama,No Country For Old Men (2007),https://www.rottentomatoes.com/m/no_country_for_old_men
,Thriller,Horror,The Shining (1980),https://www.rottentomatoes.com/m/shining
,Thriller,-,The Sixth Sense (1999),https://www.rottentomatoes.com/m/sixth_sense
,Horror,-,The Exorcist (1973),https://www.rottentomatoes.com/m/exorcist
,Action,Thriller,The Terminator (1984),https://www.rottentomatoes.com/franchise/terminator
,Thriller,Horror,Get Out (2017),https://www.rottentomatoes.com/m/get_out
,Drama,-,Moonlight (2016),https://www.rottentomatoes.com/m/moonlight_2016
,Action,Thriller,Mad Max: Fury Road (2015),https://www.rottentomatoes.com/m/mad_max_fury_road
,Drama,Adventure,Boyhood (2014),https://www.rottentomatoes.com/m/boyhood
,Drama,-,12 Years A Slave (2013),https://www.rottentomatoes.com/m/12_years_a_slave
,Drama,Thriller,Argo (2012),https://www.rottentomatoes.com/m/12_years_a_slave
,Drama,Adventure,Harry Potter and the Deathly Hallows Pt. 2 (2011),https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2_2011
,Animated,-,Toy Story 3 (2010),https://www.rottentomatoes.com/m/toy_story_3
,,-,,
,Animated,-,"Monsters, Inc (2001)",https://www.rottentomatoes.com/m/monsters_inc
,Animated,Adventure,Fantastic Mr. Fox (2009),https://www.rottentomatoes.com/m/1197696_fantastic_mr_fox
,Action,Drama,Inglorious Bastards (2009),https://www.rottentomatoes.com/m/inglourious_basterds
,Comedy,-,I Love You Man (2009),https://www.rottentomatoes.com/m/i_love_you_man
,Drama,-,Invictus (2009),https://www.rottentomatoes.com/m/invictus
,Drama,Adventure,Lord of War (2005),https://www.rottentomatoes.com/m/lord_of_war
,Animated,Comedy,Zootopia (2016),https://www.rottentomatoes.com/m/zootopia
,Animated,Adventure,Moana (2016),https://www.rottentomatoes.com/m/moana_2016
,Drama,-,Spotlight (2015),https://www.rottentomatoes.com/m/spotlight_2015
,Drama,-,Room (2015),https://www.rottentomatoes.com/m/room_2015
,Drama,Music,Whiplash (2014),https://www.rottentomatoes.com/m/whiplash_2014
,Drama,Thriller,Nightcrawler (2014),https://www.rottentomatoes.com/m/nightcrawler
,Drama,-,Manchester by the Sea (2016),https://www.rottentomatoes.com/m/manchester_by_the_sea
,Drama,Biopic,O.J.: Made in America (2016),https://www.rottentomatoes.com/m/oj_made_in_america
,Horror,Thriller,10 Cloverfield Lane (2016),https://www.rottentomatoes.com/m/10_cloverfield_lane
,Action,Comedy,Deadpool (2016),https://www.rottentomatoes.com/m/deadpool
,Action,Drama,Hacksaw Ridge (2016),https://www.rottentomatoes.com/m/hacksaw_ridge
,Comedy,-,Everybody Wants Some!! (2016),https://www.rottentomatoes.com/m/everybody_wants_some
,Drama,Adventure,Lion (2016),https://www.rottentomatoes.com/m/lion_2016
,Comedy,-,Spy (2015),https://www.rottentomatoes.com/m/spy_2015
,Drama,Biopic,Amy (2015),https://www.rottentomatoes.com/m/amy_2015
,Comedy,Drama,What We Do in the Shadows (2015),https://www.rottentomatoes.com/m/what_we_do_in_the_shadows
,Drama,-,Bridge of Spies (2015),https://www.rottentomatoes.com/m/bridge_of_spies
,Drama,Comedy,The Big Short (2015),https://www.rottentomatoes.com/m/the_big_short
,Drama,Biopic,Steve Jobs (2015),https://www.rottentomatoes.com/m/steve_jobs_2015
,Comedy,-,Trainwreck (2015),https://www.rottentomatoes.com/m/trainwreck
,Drama,Music,Straight Outta Compton (2015),https://www.rottentomatoes.com/m/straight_outta_compton
,Romance,Comedy,Before Midnight (2013),https://www.rottentomatoes.com/m/before_midnight_2013
,Drama,Romance,Her (2015),https://www.rottentomatoes.com/m/her
,Romance,-,Before Sunrise (1995),https://www.rottentomatoes.com/m/before_sunrise
,Romance,Comedy,Enough Said (2013),https://www.rottentomatoes.com/m/enough_said_2013
,Romance,Drama,Titanic (1997),https://www.rottentomatoes.com/m/titanic
,Romance,Comedy,Shakespeare in Love (1998),https://www.rottentomatoes.com/m/shakespeare_in_love
,Drama,Romance,Eternal Sunshine of the Spotless Mind (2004),https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind
,Romance,-,Midnight in Paris (2011),https://www.rottentomatoes.com/m/midnight_in_paris
,Romance,Comedy,About a Boy (2002),https://www.rottentomatoes.com/m/about_a_boy
,Comedy,Romance,Knocked Up (2007),https://www.rottentomatoes.com/m/knocked_up
,Romance,-,The Spectacular Now (2013),https://www.rottentomatoes.com/m/the_spectacular_now
,Romance,Biopic,Southside With You (2016),https://www.rottentomatoes.com/m/southside_with_you
,Romance,Comedy,The Big Sick (2017),https://www.rottentomatoes.com/m/the_big_sick
,Action,Drama,Black Hawk Down (2001),https://www.rottentomatoes.com/m/black_hawk_down/
,Action,Drama,American Spiper (2015),https://www.rottentomatoes.com/m/american_sniper/
,Drama,Thriller,Zero Dark Thirty (2013),https://www.rottentomatoes.com/m/zero_dark_thirty/
,Action,Drama,The Hurt Locker (2009),https://www.rottentomatoes.com/m/hurt_locker/
,Action,Adventure,Skyfall (2012),https://www.rottentomatoes.com/m/skyfall
,Action,Adventure,True Grit (2010),https://www.rottentomatoes.com/m/true_grit_2010
,Adventure,Thriller,Jurassic Park (1993),https://www.rottentomatoes.com/m/jurassic_park
,Adventure,Drama,Catch Me If You Can (2002),https://www.rottentomatoes.com/m/catch_me_if_you_can
,Action,Comedy,Three Kings (1999),https://www.rottentomatoes.com/m/three_kings
,Drama,Biopic,CitizenFour (2014),https://www.rottentomatoes.com/m/citizenfour
